timestamp,raw,envelope,state
15:12:57.933142,44,1,0
15:12:58.934765,45,1,0
15:12:59.933699,43,1,0
15:13:00.933829,45,1,0
15:13:01.936499,163,13,0
15:13:02.935356,95,18,1
15:13:03.935382,46,18,1
15:13:04.935693,45,18,1
15:13:05.936947,51,19,1
15:13:06.937020,186,33,1
15:13:07.935930,47,33,1
15:13:08.935972,43,33,1
15:13:09.934956,42,33,1
15:13:10.934957,44,33,1
15:13:11.935281,42,21,1
15:13:12.935198,43,16,1
15:13:13.935443,42,16,1
15:13:14.935534,44,16,1
15:13:15.935564,44,15,0
15:13:16.934454,43,1,0
15:13:17.934689,47,1,0
15:13:18.934705,43,1,0
15:13:19.934725,43,0,0
15:13:20.934940,42,0,0
15:13:21.933712,43,0,0
15:13:22.933822,43,0,0
15:13:23.934106,43,0,0
15:13:24.934075,45,0,0
